Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,PME
19.1,14.65,7.5,28.85,81.25,122.65,0.141618072
30.75,17.85,14.25,35,132.2,149.35,0.288817397
17.65,12.9,9.8,24.25,120.85,179.85,0.199865476
16.2,10.15,15.4,13,92.75,176.8,0.091733457
20.1,12.7,8.3,18.55,74.5,171.95,0.138742317
39.15,25.4,12.75,22.8,68.45,40,0.174533387
34.05,18.05,16.35,17.2,79.35,36.4,0.154552073
24.95,14.25,17.25,16.4,124.95,23.8,0.176320308
21,13.6,13.4,19.75,177.05,15.2,0.154898021
31.75,17.35,23.95,21.4,179.7,22.4,0.246719136
28.5,27.9,9.45,24.15,146.65,138.9,0.105192149
28.5,22.35,4.85,26.95,138.5,170,0.004584332
29.05,26.1,6.55,14.4,93.75,181.85,0.093250951
29.4,15.15,19.9,15.2,78.5,171.7,0.229951763
29.85,11.15,31.15,18.9,90.75,126.45,0.102657038
30.7,14.6,12.35,9.7,62.6,202.7,0.14298602
28.4,15.3,12.4,7.95,56.65,201.3,0.088226665
28.95,21,10.15,19.75,64.3,194.5,0.082269294
32.6,16.2,16.3,31.05,79.25,176.95,0.038052934
22.05,12.15,12.75,23.6,88.95,151.7,0.026192205
3.982584617,1.139770979,17.36094156,39.93416488,88.36294955,11.77173818,5.42126079
1.679923905,1.6989317,6.985451731,46.57520153,47.09788333,9.697470867,3.643615645
8.742871447,1.630883593,25.25209182,51.50825019,93.12545133,6.603849893,4.65382595
3.921698792,0.441956999,17.37262258,53.04738305,76.42203307,3.326505715,2.817830242
7.571092286,4.624650144,30.04942431,72.55184625,85.70348967,138.4016994,5.233383867
4.702771,2.338030863,18.29509048,70.85921084,65.56620544,88.37347428,2.250434525
15.37173065,7.63419378,29.83062064,98.55135025,44.75463908,123.3984337,1.137545491
3.143366019,1.681002839,6.588549025,119.812992,26.31651409,180.1208011,0.640139683
16.24913126,5.485403551,9.026023933,16.03083223,27.83849542,111.7731514,5.24992281
13.59790561,4.90792177,5.287311197,17.85345767,19.43103016,125.723769,3.8688793
35.68124636,54.86115436,25.08301763,453.5965918,54.68372072,203.9328355,4.394447427
