Latitude,Longitude,MAT,MAP,Vegetation,Fertilization,Soil.type.raw,Soil.type,Soil.classification.system,Degree.Weathering,Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,Resi.P,TPo,TP,pH,TC,TN,Sand,Silt,Clay,Texture,PME,Top.depth,Bottom.depth,Mean.depth
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,32.83551879,12.33112329,4.292167962,41.16426032,34.64871717,174.4097072,266.1424038,,,5.566666667,,,,,,silty clay loam,0.517064125,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,24.89993682,9.591393611,3.691431808,34.27602838,34.85893429,176.2056717,249.5439537,,,5.65,,,,,,silty clay loam,0.550856049,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,27.29349405,11.48542047,3.580115028,38.36126151,39.48538799,190.1342101,247.3526419,,,6,,,,,,silty clay loam,0.572946688,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,87.69066904,24.66760779,2.393780897,62.50381517,35.59229822,255.8727776,308.2736894,,,6.55,1.426595472,0.156498329,,,,silty clay loam,0.369954133,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,80.78097488,23.44156019,2.845242329,61.25418484,32.97060815,257.9104596,289.4426601,,,6.516666667,1.346159216,0.139172091,,,,silty clay loam,0.342259462,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,87.95478025,27.28409351,2.319763958,62.96907402,34.2160113,305.4061451,288.2095457,,,6.633333333,1.358096402,0.151320273,,,,silty clay loam,0.33175293,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,13.79999451,6.22897091,0.607290671,24.28384171,24.72008456,190.0230892,258.8521588,,,6.883333333,1.092217494,0.111072417,,,,silty clay loam,0.241840334,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,12.84109529,5.957503819,0.814934375,24.6148908,29.46220934,173.6704515,243.4721855,,,7.333333333,1.121380492,0.113256845,,,,silty clay loam,0.382860708,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,24.20109758,10.99071231,1.401652465,39.50384538,32.5240477,196.6994926,280.5049533,,,7.133333333,1.22612586,0.127744961,,,,silty clay loam,0.333083772,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,18.71503544,9.331403432,2.370429285,35.28976193,42.71835232,175.8801416,274.0171096,,,5.85,1.253948499,0.12915828,,,,silty clay loam,0.480083242,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,18.29383428,10.11602753,1.94600795,36.55425705,42.51349286,186.0311384,250.5356022,,,5.683333333,1.196047959,0.113656825,,,,silty clay loam,0.514329749,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,20.61693956,11.41625723,2.010225327,43.64322241,49.80561287,190.2365216,245.0373406,,,5.783333333,1.210783961,0.118195597,,,,silty clay loam,0.564652713,,,
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,6.98381617,17.8,8.008737154,204.6769885,100.1745741,11.39782985,,,819.3351064,5.31,1.884292319,,16.7,15.1,66.3,clay,4.149721487,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,1.794039006,7.28,9.411020177,126.381362,157.1252838,5.023415816,,,638.0943786,5.43,1.891112922,,16.7,15.1,66.3,clay,3.889550864,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,9.986897191,17.09,6.161184587,226.9326207,83.33074249,13.75824152,,,862.2913747,5.51,1.958382118,,16.7,15.1,66.3,clay,4.930233377,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,6.254917456,14.05666667,7.860313973,185.9969904,113.5435334,10.05982906,,,773.2402866,5.41,1.944843039,,16.7,15.1,66.3,clay,4.323168576,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,4.341922445,14.3,9.077444152,181.5635966,101.5715844,8.952444614,,,770.600131,5.34,1.914570288,,16.7,15.1,66.3,clay,5.271707315,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,13.52785146,25.92,2.384442037,228.7701318,67.45690235,9.024064171,,,871.9976599,5.62,2.003246597,,16.7,15.1,66.3,clay,5.044058023,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,5.647172583,10.68,14.81390736,179.5526532,103.8936142,9.321004751,,,682.6241135,5.35,1.97228187,,16.7,15.1,66.3,clay,3.548076927,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,0.90062924,2.62,10.59580621,84.84901601,172.0730941,4.371146666,,,580.3245218,5.52,1.718688056,,16.7,15.1,66.3,clay,5.125361338,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,9.680248868,18.34,10.70909404,217.638318,83.53431346,12.94415031,,,890.2126942,5.12,2.341860396,,16.7,15.1,66.3,clay,4.426152786,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,8.239489191,21.09,3.643847581,229.9878038,50.09507506,11.34095445,,,846.7822169,5.29,1.933536396,,16.7,15.1,66.3,clay,3.125299651,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,12.44603426,32.84,2.664448277,273.9789264,21.32924446,13.60795289,,,936.6339061,5.39,1.753100314,,16.7,15.1,66.3,clay,4.035896841,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,6.317115171,15.08,8.401459476,197.7139714,94.47392233,9.770678799,,,799.1198454,5.3,2.033796441,,16.7,15.1,66.3,clay,6.117261866,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,8.782524946,17.66,4.373912879,93.23633601,130.9435192,8.620872591,,,697.3845723,5.23,1.674171841,,16.7,15.1,66.3,clay,7.363918203,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,9.847480106,24.29,4.014442037,229.3801855,88.33634998,12.70053476,,,841.2341983,5.39,1.830671791,,16.7,15.1,66.3,clay,5.922133882,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,10.27618665,26.85,3.712978209,219.9742223,67.27203087,9.721678404,,,806.1757067,5.35,1.9193602,,16.7,15.1,66.3,clay,4.946494031,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,13.24941597,19.87,5.573223648,228.9217356,58.52680155,10.63139877,,,716.0344581,5.32,1.818418886,,16.7,15.1,66.3,clay,4.052157518,0,15,7.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,0.297812862,1.81,10.48934497,63.16673632,151.4303163,3.002017356,,,484.7830638,5.47,1.782290161,,16.7,15.1,66.3,clay,3.141560328,15,30,22.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,0.199938685,0.12,9.952028615,30.34940442,189.8790344,1.343616478,,,429.6661049,5.42,1.90524396,,16.7,15.1,66.3,clay,2.393569768,15,30,22.5
0.129444,34.40527,22.5,1800,Annual.agriculture,NP,Typic Rhodiudox,Oxisols,USDA system,High,0.690760389,2.88,9.883547095,95.47219124,152.0229135,5.305152364,,,517.0141128,5.64,1.749048883,,16.7,15.1,66.3,clay,3.515555596,15,30,22.5
